"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 21:31:04 GMT 2024","Thu Sep 19 21:31:04 GMT 2024","191","test.Cuentas","test_list_account","","","","test_list_accounts_invalid_authentication",""
"broken","Thu Sep 19 21:31:17 GMT 2024","Thu Sep 19 21:31:17 GMT 2024","209","test.Cuentas","test_view_account","","","","test_view_account_id_not_exists",""
"passed","Thu Sep 19 21:30:56 GMT 2024","Thu Sep 19 21:30:56 GMT 2024","171","test.Cuentas","test_list_account","","","","test_list_accounts_order_asc",""
"passed","Thu Sep 19 21:30:36 GMT 2024","Thu Sep 19 21:30:36 GMT 2024","234","test.Contactos","test_add_contact","","","","test_add_contact_with_valid_user",""
"passed","Thu Sep 19 21:30:39 GMT 2024","Thu Sep 19 21:30:39 GMT 2024","376","test.Contactos","test_delete_contact","","","","test_delete_contact_valid_with_auth_incorrect",""
"skipped","Thu Sep 19 21:30:42 GMT 2024","Thu Sep 19 21:30:42 GMT 2024","234","test.Contactos","test_edit_contact","","","","test_edit_contact_email_invalid",""
"passed","Thu Sep 19 21:30:45 GMT 2024","Thu Sep 19 21:30:45 GMT 2024","178","test.Contactos","test_list_contacts","","","","test_list_contacts_order_desc",""
"passed","Thu Sep 19 21:30:50 GMT 2024","Thu Sep 19 21:30:50 GMT 2024","174","test.Contactos","test_view_contact","","","","test_view_contact_id_not_exists",""
"skipped","Thu Sep 19 21:31:07 GMT 2024","Thu Sep 19 21:31:07 GMT 2024","171","test.Cuentas","test_list_account","","","","test_list_accounts_maxsize_negative",""
"passed","Thu Sep 19 21:30:44 GMT 2024","Thu Sep 19 21:30:45 GMT 2024","205","test.Contactos","test_list_contacts","","","","test_list_contacts_order_invalid",""
"skipped","Thu Sep 19 21:30:37 GMT 2024","Thu Sep 19 21:30:37 GMT 2024","0","test.Contactos","test_add_contact","","","","test_add_contact_phoneNumber_null",""
"broken","Thu Sep 19 21:30:53 GMT 2024","Thu Sep 19 21:30:53 GMT 2024","0","test.Cuentas","test_edit_account","","","","test_edit_account_address_data",""
"passed","Thu Sep 19 21:30:37 GMT 2024","Thu Sep 19 21:30:38 GMT 2024","193","test.Contactos","test_delete_contact","","","","test_delete_contact_valid_contact",""
"broken","Thu Sep 19 21:30:52 GMT 2024","Thu Sep 19 21:30:52 GMT 2024","0","test.Cuentas","test_delete_account","","","","test_delete_account_invalid_user",""
"skipped","Thu Sep 19 21:30:54 GMT 2024","Thu Sep 19 21:30:54 GMT 2024","0","test.Cuentas","test_edit_account","","","","test_edit_account_email_invalid",""
"failed","Thu Sep 19 21:30:51 GMT 2024","Thu Sep 19 21:30:51 GMT 2024","194","test.Cuentas","test_add_account","","","","test_add_account_billingAddress_null",""
"passed","Thu Sep 19 21:30:34 GMT 2024","Thu Sep 19 21:30:34 GMT 2024","221","test.Autenticacion","test_login","","","","test_valid_login",""
"skipped","Thu Sep 19 21:30:41 GMT 2024","Thu Sep 19 21:30:41 GMT 2024","0","test.Contactos","test_edit_contact","","","","test_edit_contact_empty_data",""
"passed","Thu Sep 19 21:30:51 GMT 2024","Thu Sep 19 21:30:52 GMT 2024","172","test.Cuentas","test_add_account","","","","test_add_account_emailAddress_null",""
"passed","Thu Sep 19 21:30:51 GMT 2024","Thu Sep 19 21:30:51 GMT 2024","147","test.Cuentas","test_add_account","","","","test_add_account_with_invalid_user",""
"skipped","Thu Sep 19 21:30:43 GMT 2024","Thu Sep 19 21:30:43 GMT 2024","197","test.Contactos","test_edit_contact","","","","test_edit_contact_address_invalid",""
"skipped","Thu Sep 19 21:31:14 GMT 2024","Thu Sep 19 21:31:14 GMT 2024","203","test.Cuentas","test_list_account","","","","test_list_accounts_offset_string",""
"skipped","Thu Sep 19 21:30:53 GMT 2024","Thu Sep 19 21:30:53 GMT 2024","0","test.Cuentas","test_edit_account","","","","test_edit_account_empty_data",""
